"('Key.esc', 5.605401328, 'released')","('Key.enter', 5.732248493, 'pressed')","('Key.enter', 5.820385793, 'released')","('.', 6.011002074, 'pressed')","('.', 6.123425249, 'released')","('t', 6.210437133, 'pressed')","('t', 6.282306537, 'released')","('i', 6.290148006, 'pressed')","('i', 6.358390612, 'released')","('e', 6.376343242, 'pressed')","('e', 6.444386616, 'released')","('5', 6.568501488, 'pressed')","('5', 6.640304912, 'released')","('Key.caps_lock', 6.848932655, 'pressed')","('Key.caps_lock', 6.848944598, 'released')","('R', 6.930270748, 'pressed')","('Key.caps_lock', 6.989199045, 'pressed')","('Key.caps_lock', 6.989210938, 'released')","('r', 6.993649665, 'released')","('o', 7.171154254, 'pressed')","('o', 7.27922604, 'released')","('a', 7.291250716, 'pressed')","('a', 7.367345513, 'released')","('n', 7.441349145, 'pressed')","('l', 7.521346095, 'pressed')","('n', 7.545366845, 'released')","('e', 7.605384269, 'pressed')","('l', 7.623357665, 'released')","('e', 7.669298627, 'released')","('Key.esc', 7.977342818, 'pressed')"
"('Key.esc', 8.073312602, 'released')","('Key.enter', 8.145532518, 'pressed')","('Key.enter', 8.227259734, 'released')","('.', 8.38986342, 'pressed')","('.', 8.490285249, 'released')","('t', 8.575306964, 'pressed')","('t', 8.651273396, 'released')","('i', 8.673271067, 'pressed')","('i', 8.733186876, 'released')","('e', 8.749213149, 'pressed')","('e', 8.825263146, 'released')","('5', 9.168222791, 'pressed')","('5', 9.240097638, 'released')","('Key.caps_lock', 9.485157417, 'pressed')","('Key.caps_lock', 9.485164737, 'released')","('R', 9.575046827, 'pressed')","('Key.caps_lock', 9.662364231, 'pressed')","('Key.caps_lock', 9.662376271, 'released')","('r', 9.662669362, 'released')","('o', 9.817902213, 'pressed')","('a', 9.874697478, 'pressed')","('o', 9.892880675, 'released')","('a', 9.970176715, 'released')","('n', 10.005251732, 'pressed')","('l', 10.085114466, 'pressed')","('n', 10.108561727, 'released')","('l', 10.177101876, 'released')","('e', 10.185113746, 'pressed')","('e', 10.265192567, 'released')","('Key.esc', 10.543084341, 'pressed')"
"('Key.esc', 10.615128205, 'released')","('Key.enter', 10.70112045, 'pressed')","('Key.enter', 10.777100673, 'released')","('.', 10.939570945, 'pressed')","('.', 11.036128041, 'released')","('t', 11.126088763, 'pressed')","('t', 11.201937899, 'released')","('i', 11.214059974, 'pressed')","('i', 11.270151352, 'released')","('e', 11.308126346, 'pressed')","('e', 11.372180124, 'released')","('5', 11.635128448, 'pressed')","('5', 11.703120939, 'released')","('Key.caps_lock', 11.922633535, 'pressed')","('Key.caps_lock', 11.922646431, 'released')","('R', 11.989133827, 'pressed')","('Key.caps_lock', 12.087871837, 'pressed')","('Key.caps_lock', 12.08788583, 'released')","('r', 12.088073499, 'released')","('o', 12.172132195, 'pressed')","('a', 12.264065269, 'pressed')","('o', 12.267940661, 'released')","('a', 12.360162328, 'released')","('n', 12.420651738, 'pressed')","('l', 12.481062185, 'pressed')","('n', 12.512580228, 'released')","('l', 12.580987824, 'released')","('e', 12.584930366, 'pressed')","('e', 12.649091624, 'released')","('Key.esc', 13.012961174, 'pressed')"
"('Key.esc', 13.07307693, 'released')","('Key.enter', 13.09877843, 'pressed')","('Key.enter', 13.178831838, 'released')","('.', 13.318962387, 'pressed')","('.', 13.423125168, 'released')","('t', 13.460004321, 'pressed')","('t', 13.532024457, 'released')","('i', 13.559893515, 'pressed')","('i', 13.620012901, 'released')","('e', 13.644954794, 'pressed')","('e', 13.71301458, 'released')","('5', 13.855960037, 'pressed')","('5', 13.931836037, 'released')","('Key.caps_lock', 14.143688095, 'pressed')","('Key.caps_lock', 14.143696783, 'released')","('R', 14.200354497, 'pressed')","('R', 14.264273401, 'released')","('Key.caps_lock', 14.271281684, 'pressed')","('Key.caps_lock', 14.271287917, 'released')","('o', 14.388961733, 'pressed')","('o', 14.456960777, 'released')","('a', 14.460893553, 'pressed')","('a', 14.556988773, 'released')","('n', 14.587137585, 'pressed')","('l', 14.666933137, 'pressed')","('n', 14.694717227, 'released')","('e', 14.750897147, 'pressed')","('l', 14.762491638, 'released')","('e', 14.834963225, 'released')","('Key.esc', 15.088879696, 'pressed')"
"('Key.esc', 3.169190027, 'released')","('Key.enter', 3.260046709, 'pressed')","('Key.enter', 3.344147395, 'released')","('.', 3.631960375, 'pressed')","('.', 3.724061902, 'released')","('t', 3.802854024, 'pressed')","('t', 3.879087354, 'released')","('i', 3.918093496, 'pressed')","('i', 3.974099664, 'released')","('e', 3.996091116, 'pressed')","('e', 4.068336953, 'released')","('5', 4.197929362, 'pressed')","('5', 4.269973215, 'released')","('Key.caps_lock', 4.470400299, 'pressed')","('Key.caps_lock', 4.470410054, 'released')","('R', 4.524887336, 'pressed')","('Key.caps_lock', 4.606905536, 'pressed')","('Key.caps_lock', 4.606917837, 'released')","('r', 4.616760176, 'released')","('o', 4.713016802, 'pressed')","('o', 4.792928244, 'released')","('a', 4.796831773, 'pressed')","('a', 4.885352739, 'released')","('n', 4.9199538, 'pressed')","('l', 5.000180024, 'pressed')","('n', 5.015886337, 'released')","('l', 5.07199747, 'released')","('e', 5.099273556, 'pressed')","('e', 5.155037183, 'released')","('Key.esc', 5.483813852, 'pressed')"
"('Key.esc', 5.563936826, 'released')","('Key.enter', 5.686539116, 'pressed')","('Key.enter', 5.766983485, 'released')","('.', 5.99537153, 'pressed')","('.', 6.086981998, 'released')","('t', 6.212874239, 'pressed')","('t', 6.296972977, 'released')","('i', 6.330861782, 'pressed')","('i', 6.398975273, 'released')","('e', 6.421000278, 'pressed')","('e', 6.497222325, 'released')","('5', 6.629726277, 'pressed')","('5', 6.705905814, 'released')","('Key.caps_lock', 6.914423135, 'pressed')","('Key.caps_lock', 6.914436281, 'released')","('R', 6.975946657, 'pressed')","('Key.caps_lock', 7.058275424, 'pressed')","('Key.caps_lock', 7.058286548, 'released')","('r', 7.071794022, 'released')","('o', 7.199706077, 'pressed')","('o', 7.271850229, 'released')","('a', 7.275784958, 'pressed')","('a', 7.359963864, 'released')","('n', 7.400907001, 'pressed')","('l', 7.488967442, 'pressed')","('n', 7.505646079, 'released')","('l', 7.556940824, 'released')","('e', 7.599043663, 'pressed')","('e', 7.666915981, 'released')","('Key.esc', 7.942814697, 'pressed')"
"('Key.esc', 8.018961282, 'released')","('Key.enter', 8.160750964, 'pressed')","('Key.enter', 8.244834723, 'released')","('.', 8.445887082, 'pressed')","('.', 8.549686522, 'released')","('t', 8.611853611, 'pressed')","('t', 8.687777589, 'released')","('i', 8.727764754, 'pressed')","('i', 8.795746826, 'released')","('e', 8.803867154, 'pressed')","('e', 8.879887331, 'released')","('5', 8.999708821, 'pressed')","('5', 9.075802728, 'released')","('Key.caps_lock', 9.292497324, 'pressed')","('Key.caps_lock', 9.292514352, 'released')","('R', 9.349633844, 'pressed')","('Key.caps_lock', 9.424164771, 'pressed')","('Key.caps_lock', 9.424175898, 'released')","('r', 9.429159585, 'released')","('o', 9.544680083, 'pressed')","('a', 9.612835759, 'pressed')","('o', 9.61664871, 'released')","('a', 9.692839427, 'released')","('n', 9.746738091, 'pressed')","('l', 9.826728044, 'pressed')","('n', 9.850545787, 'released')","('l', 9.90300581, 'released')","('e', 9.950075828, 'pressed')","('e', 10.017196493, 'released')","('Key.esc', 10.42263667, 'pressed')"
"('Key.esc', 10.494593263, 'released')","('Key.enter', 10.595728533, 'pressed')","('Key.enter', 10.675750542, 'released')","('.', 10.895693961, 'pressed')","('.', 10.98373788, 'released')","('t', 11.050888287, 'pressed')","('t', 11.130674129, 'released')","('i', 11.171574765, 'pressed')","('i', 11.239631535, 'released')","('e', 11.255721896, 'pressed')","('e', 11.327774242, 'released')","('5', 11.471938228, 'pressed')","('5', 11.555700407, 'released')","('Key.caps_lock', 11.787779093, 'pressed')","('Key.caps_lock', 11.787790159, 'released')","('R', 11.848383782, 'pressed')","('Key.caps_lock', 11.91862649, 'pressed')","('Key.caps_lock', 11.918671495, 'released')","('r', 11.932593349, 'released')","('o', 12.004790087, 'pressed')","('o', 12.080667638, 'released')","('a', 12.108617921, 'pressed')","('a', 12.176653505, 'released')","('n', 12.198694268, 'pressed')","('l', 12.282672825, 'pressed')","('n', 12.306530101, 'released')","('l', 12.354674083, 'released')","('e', 12.3755941, 'pressed')","('e', 12.455645282, 'released')","('Key.esc', 12.79455525, 'pressed')"
"('Key.esc', 12.878592949, 'released')","('Key.enter', 12.957665984, 'pressed')","('Key.enter', 13.04156671, 'released')","('.', 13.25988524, 'pressed')","('.', 13.371432875, 'released')","('t', 13.454502712, 'pressed')","('t', 13.526452892, 'released')","('i', 13.55449457, 'pressed')","('i', 13.618593339, 'released')","('e', 13.634493603, 'pressed')","('e', 13.70658839, 'released')","('5', 13.841576821, 'pressed')","('5', 13.921616671, 'released')","('Key.caps_lock', 14.125956718, 'pressed')","('Key.caps_lock', 14.125966637, 'released')","('R', 14.199541702, 'pressed')","('Key.caps_lock', 14.270099543, 'pressed')","('Key.caps_lock', 14.270116489, 'released')","('r', 14.271589176, 'released')","('o', 14.402321665, 'pressed')","('a', 14.454528485, 'pressed')","('o', 14.478653442, 'released')","('a', 14.538466589, 'released')","('n', 14.597432685, 'pressed')","('l', 14.673575384, 'pressed')","('n', 14.693173044, 'released')","('l', 14.745801357, 'released')","('e', 14.76540465, 'pressed')","('e', 14.833687932, 'released')","('Key.esc', 15.211513894, 'pressed')"
"('Key.esc', 15.283091509, 'released')","('Key.enter', 15.464435295, 'pressed')","('Key.enter', 15.548564668, 'released')","('.', 15.765532084, 'pressed')","('.', 15.857469285, 'released')","('t', 15.941526744, 'pressed')","('t', 16.009338113, 'released')","('i', 16.033341445, 'pressed')","('i', 16.093240918, 'released')","('e', 16.121331388, 'pressed')","('e', 16.197351633, 'released')","('5', 16.318406336, 'pressed')","('5', 16.390453158, 'released')","('Key.caps_lock', 16.608453254, 'pressed')","('Key.caps_lock', 16.608515339, 'released')","('R', 16.677421998, 'pressed')","('R', 16.749239315, 'released')","('Key.caps_lock', 16.763819699, 'pressed')","('Key.caps_lock', 16.763832355, 'released')","('o', 16.910369892, 'pressed')","('a', 16.944975959, 'pressed')","('o', 16.997108859, 'released')","('a', 17.013380482, 'released')","('n', 17.179316474, 'pressed')","('l', 17.263414831, 'pressed')","('n', 17.280195863, 'released')","('l', 17.331297134, 'released')","('e', 17.339226152, 'pressed')","('e', 17.407424615, 'released')","('Key.esc', 17.696365046, 'pressed')"
