"('Key.esc', 133935.988483935, 'released')","('Key.enter', 133937.014514436, 'pressed')","('Key.enter', 133937.11679664, 'released')","('.', 133937.579922274, 'pressed')","('.', 133937.675479289, 'released')","('t', 133937.783829933, 'pressed')","('t', 133937.885376, 'released')","('i', 133937.91527848, 'pressed')","('i', 133937.986504535, 'released')","('e', 133938.041892866, 'pressed')","('e', 133938.138860104, 'released')","('5', 133938.531092107, 'pressed')","('5', 133938.615322459, 'released')","('Key.caps_lock', 133939.377984028, 'pressed')","('Key.caps_lock', 133939.450489762, 'released')","('r', 133939.668419514, 'pressed')","('r', 133939.770120168, 'released')","('Key.caps_lock', 133939.84832737, 'pressed')","('Key.caps_lock', 133939.928830054, 'released')","('o', 133940.187778961, 'pressed')","('a', 133940.250244924, 'pressed')","('o', 133940.267245376, 'released')","('a', 133940.331890341, 'released')","('n', 133940.379503797, 'pressed')","('n', 133940.464463264, 'released')","('l', 133940.602700888, 'pressed')","('l', 133940.684816061, 'released')","('e', 133940.701260978, 'pressed')","('e', 133940.764371404, 'released')","('Key.esc', 133941.306599262, 'pressed')"
"('Key.esc', 133941.410693754, 'released')","('Key.enter', 133941.840229779, 'pressed')","('Key.enter', 133941.937628076, 'released')","('.', 133942.49605505, 'pressed')","('.', 133942.599260132, 'released')","('t', 133942.67318789, 'pressed')","('t', 133942.766606158, 'released')","('i', 133942.78339896, 'pressed')","('i', 133942.87260245, 'released')","('e', 133942.890866517, 'pressed')","('e', 133942.973433931, 'released')","('5', 133943.41703947, 'pressed')","('5', 133943.498643145, 'released')","('Key.caps_lock', 133944.359884159, 'pressed')","('Key.caps_lock', 133944.448172343, 'released')","('r', 133944.569970163, 'pressed')","('r', 133944.702060486, 'released')","('Key.caps_lock', 133944.719672939, 'pressed')","('Key.caps_lock', 133944.800463424, 'released')","('o', 133944.919917166, 'pressed')","('a', 133945.024283115, 'pressed')","('o', 133945.040287034, 'released')","('a', 133945.114610971, 'released')","('n', 133945.130998912, 'pressed')","('n', 133945.212657756, 'released')","('l', 133945.415470407, 'pressed')","('l', 133945.495338089, 'released')","('e', 133945.511155192, 'pressed')","('e', 133945.586349468, 'released')","('Key.esc', 133946.22700461, 'pressed')"
"('Key.esc', 133946.315820884, 'released')","('Key.enter', 133946.507419447, 'pressed')","('Key.enter', 133946.614700644, 'released')","('.', 133946.996022329, 'pressed')","('.', 133947.0962424, 'released')","('t', 133947.173544398, 'pressed')","('t', 133947.261052191, 'released')","('i', 133947.299961893, 'pressed')","('i', 133947.365323941, 'released')","('e', 133947.385669568, 'pressed')","('e', 133947.487039994, 'released')","('5', 133947.854425195, 'pressed')","('5', 133947.944919423, 'released')","('Key.caps_lock', 133949.280464231, 'pressed')","('Key.caps_lock', 133949.377270847, 'released')","('r', 133949.536237581, 'pressed')","('r', 133949.677817215, 'released')","('Key.caps_lock', 133949.749052587, 'pressed')","('Key.caps_lock', 133949.829685263, 'released')","('o', 133950.022899452, 'pressed')","('o', 133950.096582384, 'released')","('a', 133950.113123999, 'pressed')","('a', 133950.192332158, 'released')","('n', 133950.20985846, 'pressed')","('n', 133950.288800484, 'released')","('l', 133950.382000542, 'pressed')","('l', 133950.471340223, 'released')","('e', 133950.487015124, 'pressed')","('e', 133950.550075211, 'released')","('Key.esc', 133951.249790631, 'pressed')"
"('Key.esc', 133951.334751435, 'released')","('Key.enter', 133951.533858209, 'pressed')","('Key.enter', 133951.622052581, 'released')","('.', 133952.413159954, 'pressed')","('.', 133952.537226431, 'released')","('t', 133952.577900036, 'pressed')","('t', 133952.660697377, 'released')","('i', 133952.682806178, 'pressed')","('i', 133952.749630299, 'released')","('e', 133952.774352469, 'pressed')","('e', 133952.862353766, 'released')","('5', 133953.192700901, 'pressed')","('5', 133953.293749019, 'released')","('Key.caps_lock', 133953.614525397, 'pressed')","('Key.caps_lock', 133953.721354174, 'released')","('r', 133953.970619481, 'pressed')","('r', 133954.057680976, 'released')","('Key.caps_lock', 133954.176611982, 'pressed')","('Key.caps_lock', 133954.244423559, 'released')","('o', 133954.558009377, 'pressed')","('o', 133954.618911606, 'released')","('a', 133954.864724407, 'pressed')","('a', 133954.931655189, 'released')","('n', 133955.133568305, 'pressed')","('n', 133955.21356481, 'released')","('l', 133955.319762765, 'pressed')","('l', 133955.388317851, 'released')","('e', 133955.417053147, 'pressed')","('e', 133955.474504039, 'released')","('Key.esc', 133957.292090273, 'pressed')"
"('Key.esc', 134192.989840054, 'released')","('Key.enter', 134193.293524168, 'pressed')","('Key.enter', 134193.393521482, 'released')","('.', 134193.7468339, 'pressed')","('.', 134193.833654343, 'released')","('t', 134193.880857662, 'pressed')","('t', 134193.977764313, 'released')","('i', 134194.017855114, 'pressed')","('i', 134194.099842137, 'released')","('e', 134194.117053596, 'pressed')","('e', 134194.190413989, 'released')","('5', 134194.525267821, 'pressed')","('5', 134194.609787425, 'released')","('Key.caps_lock', 134195.323693417, 'pressed')","('Key.caps_lock', 134195.426194977, 'released')","('r', 134196.144817034, 'pressed')","('r', 134196.243988122, 'released')","('Key.caps_lock', 134196.44784381, 'pressed')","('Key.caps_lock', 134196.524586945, 'released')","('o', 134196.875796426, 'pressed')","('o', 134196.942071226, 'released')","('a', 134196.983761351, 'pressed')","('a', 134197.064902208, 'released')","('n', 134197.104245488, 'pressed')","('n', 134197.201409168, 'released')","('l', 134197.339173484, 'pressed')","('l', 134197.411105677, 'released')","('e', 134197.446361496, 'pressed')","('e', 134197.517972409, 'released')","('Key.esc', 134199.03040797, 'pressed')"
"('Key.esc', 134199.123896383, 'released')","('Key.enter', 134199.373500022, 'pressed')","('Key.enter', 134199.461922503, 'released')","('.', 134199.687285873, 'pressed')","('.', 134199.798160801, 'released')","('t', 134199.867415707, 'pressed')","('t', 134199.957753369, 'released')","('i', 134199.97438368, 'pressed')","('i', 134200.052176882, 'released')","('e', 134200.09001266, 'pressed')","('e', 134200.174025939, 'released')","('5', 134201.304536439, 'pressed')","('5', 134201.403615822, 'released')","('Key.caps_lock', 134202.074250769, 'pressed')","('Key.caps_lock', 134202.172137768, 'released')","('r', 134202.306243895, 'pressed')","('r', 134202.421375244, 'released')","('Key.caps_lock', 134202.568122135, 'pressed')","('Key.caps_lock', 134202.656871777, 'released')","('o', 134203.092214528, 'pressed')","('o', 134203.166949351, 'released')","('a', 134203.278748162, 'pressed')","('a', 134203.365661258, 'released')","('n', 134203.413309409, 'pressed')","('n', 134203.496733142, 'released')","('l', 134203.76748056, 'pressed')","('l', 134203.857442647, 'released')","('e', 134203.872146264, 'pressed')","('e', 134203.950338532, 'released')","('Key.esc', 134204.921360208, 'pressed')"
"('Key.esc', 134205.063872474, 'released')","('Key.enter', 134205.383057683, 'pressed')","('Key.enter', 134205.482772157, 'released')","('.', 134205.858398984, 'pressed')","('.', 134205.935550466, 'released')","('t', 134206.001537876, 'pressed')","('t', 134206.084322379, 'released')","('i', 134206.114588102, 'pressed')","('i', 134206.186615782, 'released')","('e', 134206.212893736, 'pressed')","('e', 134206.304320165, 'released')","('5', 134206.681533594, 'pressed')","('5', 134206.794536422, 'released')","('Key.caps_lock', 134207.620050649, 'pressed')","('Key.caps_lock', 134207.722778969, 'released')","('r', 134207.84748062, 'pressed')","('r', 134207.998708571, 'released')","('Key.caps_lock', 134208.163233645, 'pressed')","('Key.caps_lock', 134208.235056537, 'released')","('o', 134208.811399548, 'pressed')","('o', 134208.877296579, 'released')","('a', 134208.987714919, 'pressed')","('a', 134209.074752479, 'released')","('n', 134209.103681856, 'pressed')","('n', 134209.191638621, 'released')","('l', 134209.295338228, 'pressed')","('l', 134209.371773153, 'released')","('e', 134209.415728991, 'pressed')","('e', 134209.487127734, 'released')","('Key.esc', 134210.447431284, 'pressed')"
"('Key.esc', 134210.573363376, 'released')","('Key.enter', 134210.816089419, 'pressed')","('Key.enter', 134210.948575376, 'released')","('.', 134211.282635991, 'pressed')","('.', 134211.404845596, 'released')","('t', 134211.476614453, 'pressed')","('t', 134211.572046363, 'released')","('i', 134211.608986047, 'pressed')","('i', 134211.688013212, 'released')","('e', 134211.707146617, 'pressed')","('e', 134211.799954734, 'released')","('5', 134214.11996132, 'pressed')","('5', 134214.201468362, 'released')","('Key.caps_lock', 134215.007442045, 'pressed')","('Key.caps_lock', 134215.083720208, 'released')","('r', 134215.258943442, 'pressed')","('r', 134215.349583381, 'released')","('Key.caps_lock', 134215.452109735, 'pressed')","('Key.caps_lock', 134215.526570993, 'released')","('o', 134215.635864554, 'pressed')","('o', 134215.719547788, 'released')","('a', 134215.740184013, 'pressed')","('a', 134215.792642635, 'released')","('n', 134215.834246007, 'pressed')","('n', 134215.920077756, 'released')","('l', 134216.091736983, 'pressed')","('l', 134216.164751498, 'released')","('e', 134216.19414942, 'pressed')","('e', 134216.282498327, 'released')","('Key.esc', 134216.870504207, 'pressed')"
"('Key.esc', 134251.806580093, 'released')","('Key.enter', 134252.481545091, 'pressed')","('Key.enter', 134252.580644121, 'released')","('.', 134252.864153498, 'pressed')","('.', 134252.933164694, 'released')","('t', 134253.043106362, 'pressed')","('t', 134253.126608478, 'released')","('i', 134253.143297726, 'pressed')","('i', 134253.212208453, 'released')","('e', 134253.266260968, 'pressed')","('e', 134253.359833176, 'released')","('5', 134253.722479055, 'pressed')","('5', 134253.803195254, 'released')","('Key.caps_lock', 134255.684716283, 'pressed')","('Key.caps_lock', 134255.785083557, 'released')","('r', 134256.270734463, 'pressed')","('r', 134256.395308537, 'released')","('Key.caps_lock', 134257.097019112, 'pressed')","('Key.caps_lock', 134257.184330155, 'released')","('o', 134257.539410469, 'pressed')","('o', 134257.596591583, 'released')","('a', 134257.899772346, 'pressed')","('a', 134258.006972419, 'released')","('n', 134258.042499331, 'pressed')","('n', 134258.124518542, 'released')","('l', 134258.218954732, 'pressed')","('l', 134258.299418522, 'released')","('e', 134258.316397881, 'pressed')","('e', 134258.386891052, 'released')","('Key.esc', 134259.161138509, 'pressed')"
"('Key.esc', 134259.255432449, 'released')","('Key.enter', 134259.634952487, 'pressed')","('Key.enter', 134259.714734788, 'released')","('.', 134259.922687552, 'pressed')","('.', 134260.007606492, 'released')","('t', 134260.059528048, 'pressed')","('t', 134260.145835203, 'released')","('i', 134260.171219479, 'pressed')","('i', 134260.237390573, 'released')","('e', 134260.30334536, 'pressed')","('e', 134260.390929005, 'released')","('5', 134260.644286055, 'pressed')","('5', 134260.739549462, 'released')","('Key.caps_lock', 134261.364683702, 'pressed')","('Key.caps_lock', 134261.461658778, 'released')","('r', 134262.165315137, 'pressed')","('r', 134262.252034933, 'released')","('Key.caps_lock', 134262.435537564, 'pressed')","('Key.caps_lock', 134262.518600998, 'released')","('o', 134263.139711087, 'pressed')","('o', 134263.208056654, 'released')","('a', 134263.2936915, 'pressed')","('a', 134263.371943662, 'released')","('n', 134263.398538919, 'pressed')","('n', 134263.482619421, 'released')","('l', 134263.554645559, 'pressed')","('l', 134263.6359202, 'released')","('e', 134263.652311604, 'pressed')","('e', 134263.722952793, 'released')","('Key.esc', 134264.973711979, 'pressed')"
