"('Key.esc', 10.32851744, 'released')","('Key.enter', 10.563877853, 'pressed')","('Key.enter', 10.676443055, 'released')","('.', 12.371416612, 'pressed')","('.', 12.519479708, 'released')","('t', 13.023369716, 'pressed')","('t', 13.159404372, 'released')","('i', 13.20439798, 'pressed')","('i', 13.348403398, 'released')","('e', 13.416248357, 'pressed')","('e', 13.544405377, 'released')","('5', 13.880282601, 'pressed')","('5', 13.964197188, 'released')","('Key.caps_lock', 14.710119352, 'pressed')","('Key.caps_lock', 14.710130971, 'released')","('R', 15.036338577, 'pressed')","('R', 15.148322315, 'released')","('Key.caps_lock', 15.231669518, 'pressed')","('Key.caps_lock', 15.231676424, 'released')","('o', 15.854274633, 'pressed')","('o', 15.978295762, 'released')","('a', 16.184286556, 'pressed')","('a', 16.332223887, 'released')","('n', 16.502231068, 'pressed')","('n', 16.586259368, 'released')","('l', 16.821195945, 'pressed')","('l', 16.945082041, 'released')","('e', 17.185110397, 'pressed')","('e', 17.313208412, 'released')","('Key.esc', 18.4201104, 'pressed')"
"('Key.esc', 18.555555684, 'released')","('Key.enter', 19.343043271, 'pressed')","('Key.enter', 19.467040052, 'released')","('.', 20.532948696, 'pressed')","('.', 20.688474671, 'released')","('t', 23.088893011, 'pressed')","('t', 23.200945613, 'released')","('i', 23.319730113, 'pressed')","('i', 23.431913156, 'released')","('e', 24.003892212, 'pressed')","('e', 24.159849742, 'released')","('5', 25.210776702, 'pressed')","('5', 25.322617056, 'released')","('Key.caps_lock', 26.102694813, 'pressed')","('Key.caps_lock', 26.102706989, 'released')","('R', 26.465686559, 'pressed')","('R', 26.585278124, 'released')","('Key.caps_lock', 27.029562337, 'pressed')","('Key.caps_lock', 27.029574008, 'released')","('o', 27.413715117, 'pressed')","('o', 27.549823563, 'released')","('a', 27.927074444, 'pressed')","('a', 28.086784201, 'released')","('n', 28.161109981, 'pressed')","('n', 28.245660445, 'released')","('l', 28.53254492, 'pressed')","('l', 28.656826521, 'released')","('e', 28.83563097, 'pressed')","('e', 28.971669188, 'released')","('Key.esc', 30.023357272, 'pressed')"
"('Key.esc', 30.178940114, 'released')","('Key.enter', 30.533408473, 'pressed')","('Key.enter', 30.705593661, 'released')","('.', 31.886903292, 'pressed')","('.', 32.023707155, 'released')","('t', 33.150469722, 'pressed')","('t', 33.290342079, 'released')","('i', 33.336439223, 'pressed')","('i', 33.4884262, 'released')","('e', 33.581287168, 'pressed')","('e', 33.729387638, 'released')","('5', 34.173195296, 'pressed')","('5', 34.233158904, 'released')","('Key.caps_lock', 35.775420734, 'pressed')","('Key.caps_lock', 35.775431962, 'released')","('R', 36.499122319, 'pressed')","('R', 36.627203944, 'released')","('Key.caps_lock', 36.811359268, 'pressed')","('Key.caps_lock', 36.811370868, 'released')","('o', 37.509004362, 'pressed')","('o', 37.661218252, 'released')","('a', 37.815117366, 'pressed')","('a', 37.967143844, 'released')","('n', 38.123111219, 'pressed')","('n', 38.219132705, 'released')","('l', 38.480119318, 'pressed')","('l', 38.600119041, 'released')","('e', 39.225114922, 'pressed')","('e', 39.381113486, 'released')","('Key.esc', 40.303937996, 'pressed')"
"('Key.esc', 40.404007576, 'released')","('Key.enter', 41.040673323, 'pressed')","('Key.enter', 41.204956493, 'released')","('.', 42.47788304, 'pressed')","('.', 42.601946686, 'released')","('t', 43.729887231, 'pressed')","('t', 43.861249938, 'released')","('i', 43.916734841, 'pressed')","('i', 44.052649047, 'released')","('e', 44.244743284, 'pressed')","('e', 44.372863394, 'released')","('5', 45.181667874, 'pressed')","('5', 45.333740453, 'released')","('Key.caps_lock', 46.018247173, 'pressed')","('Key.caps_lock', 46.018258449, 'released')","('R', 46.366799144, 'pressed')","('R', 46.482708751, 'released')","('Key.caps_lock', 46.990430019, 'pressed')","('Key.caps_lock', 46.990441279, 'released')","('o', 47.50371316, 'pressed')","('o', 47.651669771, 'released')","('a', 47.98258737, 'pressed')","('a', 48.122682311, 'released')","('n', 48.176732888, 'pressed')","('n', 48.284869007, 'released')","('l', 48.570490532, 'pressed')","('l', 48.694612958, 'released')","('e', 48.950471341, 'pressed')","('e', 49.058536585, 'released')","('Key.esc', 49.750484058, 'pressed')"
"('Key.esc', 9.783435178, 'released')","('Key.enter', 10.292340154, 'pressed')","('Key.enter', 10.392307051, 'released')","('.', 11.826650309, 'pressed')","('.', 11.949404358, 'released')","('t', 12.480560877, 'pressed')","('t', 12.620219003, 'released')","('i', 12.725201657, 'pressed')","('i', 12.867346098, 'released')","('e', 12.929241224, 'pressed')","('e', 13.073334479, 'released')","('5', 13.281280998, 'pressed')","('5', 13.40525674, 'released')","('Key.caps_lock', 14.71484951, 'pressed')","('Key.caps_lock', 14.714862104, 'released')","('R', 15.090008273, 'pressed')","('R', 15.198237713, 'released')","('Key.caps_lock', 15.741536494, 'pressed')","('Key.caps_lock', 15.741548389, 'released')","('o', 16.226074113, 'pressed')","('o', 16.354216316, 'released')","('a', 16.558111447, 'pressed')","('a', 16.718152273, 'released')","('n', 16.852224822, 'pressed')","('n', 16.932203944, 'released')","('l', 17.188062665, 'pressed')","('l', 17.29612111, 'released')","('e', 17.565151878, 'pressed')","('e', 17.657102532, 'released')","('Key.esc', 18.061004331, 'pressed')"
"('Key.esc', 18.165011622, 'released')","('Key.enter', 18.650993881, 'pressed')","('Key.enter', 18.758994217, 'released')","('.', 19.600979644, 'pressed')","('.', 19.724960401, 'released')","('t', 20.206945289, 'pressed')","('t', 20.314974186, 'released')","('i', 20.407898234, 'pressed')","('i', 20.547951402, 'released')","('e', 20.801732037, 'pressed')","('e', 20.905910236, 'released')","('5', 21.774899843, 'pressed')","('5', 21.878837109, 'released')","('Key.caps_lock', 22.52629403, 'pressed')","('Key.caps_lock', 22.526305795, 'released')","('R', 22.95773201, 'pressed')","('R', 23.057624099, 'released')","('Key.caps_lock', 23.473416293, 'pressed')","('Key.caps_lock', 23.473428182, 'released')","('o', 23.992953375, 'pressed')","('o', 24.129764389, 'released')","('a', 24.333124222, 'pressed')","('a', 24.469745697, 'released')","('n', 24.672673571, 'pressed')","('n', 24.744723963, 'released')","('l', 25.019727849, 'pressed')","('l', 25.127712759, 'released')","('e', 25.362427683, 'pressed')","('e', 25.454186947, 'released')","('Key.esc', 26.187597241, 'pressed')"
"('Key.esc', 37.129019827, 'released')","('Key.enter', 37.840651966, 'pressed')","('Key.enter', 37.964980618, 'released')","('.', 38.922810237, 'pressed')","('.', 39.082960861, 'released')","('t', 39.481875023, 'pressed')","('t', 39.609777583, 'released')","('i', 39.688945323, 'pressed')","('i', 39.844938826, 'released')","('e', 39.989041795, 'pressed')","('e', 40.120955425, 'released')","('5', 40.946842315, 'pressed')","('5', 41.062884135, 'released')","('Key.caps_lock', 41.621814197, 'pressed')","('Key.caps_lock', 41.621826872, 'released')","('R', 41.980810905, 'pressed')","('R', 42.088834749, 'released')","('Key.caps_lock', 42.421826274, 'pressed')","('Key.caps_lock', 42.421839196, 'released')","('o', 42.90008155, 'pressed')","('o', 43.039809141, 'released')","('a', 43.318418429, 'pressed')","('a', 43.442909999, 'released')","('n', 43.711904602, 'pressed')","('n', 43.795725471, 'released')","('l', 44.023701871, 'pressed')","('l', 44.127789619, 'released')","('e', 44.353639776, 'pressed')","('e', 44.473712581, 'released')","('Key.esc', 45.069575361, 'pressed')"
"('Key.esc', 8.460520784, 'released')","('Key.enter', 9.098778909, 'pressed')","('Key.enter', 9.226814197, 'released')","('.', 10.59674978, 'pressed')","('.', 10.724608745, 'released')","('t', 11.854721738, 'pressed')","('t', 11.974189266, 'released')","('i', 12.05755196, 'pressed')","('i', 12.209754729, 'released')","('e', 12.278555804, 'pressed')","('e', 12.418704773, 'released')","('5', 12.662640316, 'pressed')","('5', 12.778623216, 'released')","('Key.caps_lock', 13.323530165, 'pressed')","('Key.caps_lock', 13.32354286, 'released')","('R', 13.70156431, 'pressed')","('R', 13.809589318, 'released')","('Key.caps_lock', 14.139870913, 'pressed')","('Key.caps_lock', 14.139883225, 'released')","('o', 14.725990866, 'pressed')","('o', 14.870510764, 'released')","('a', 15.013562515, 'pressed')","('a', 15.169523161, 'released')","('n', 15.353571186, 'pressed')","('n', 15.437543609, 'released')","('l', 15.742475915, 'pressed')","('l', 15.854346348, 'released')","('e', 16.037546958, 'pressed')","('e', 16.149348732, 'released')","('Key.esc', 16.90539498, 'pressed')"
"('Key.esc', 16.989479803, 'released')","('Key.enter', 17.345470808, 'pressed')","('Key.enter', 17.485473951, 'released')","('.', 18.510339506, 'pressed')","('.', 18.650354435, 'released')","('t', 19.051989355, 'pressed')","('t', 19.184351442, 'released')","('i', 19.240476066, 'pressed')","('i', 19.364333847, 'released')","('e', 19.572289115, 'pressed')","('e', 19.696325728, 'released')","('5', 19.945333314, 'pressed')","('5', 20.08130405, 'released')","('Key.caps_lock', 20.691298887, 'pressed')","('Key.caps_lock', 20.691322205, 'released')","('R', 21.129152396, 'pressed')","('R', 21.257188076, 'released')","('Key.caps_lock', 21.82383125, 'pressed')","('Key.caps_lock', 21.823852848, 'released')","('o', 22.113128073, 'pressed')","('o', 22.253208657, 'released')","('a', 22.762210216, 'pressed')","('a', 22.914157823, 'released')","('n', 23.191121749, 'pressed')","('n', 23.279133939, 'released')","('l', 23.544925769, 'pressed')","('l', 23.681112593, 'released')","('e', 23.882174768, 'pressed')","('e', 24.010100587, 'released')","('Key.esc', 25.232432221, 'pressed')"
"('Key.esc', 25.337000391, 'released')","('Key.enter', 25.883909234, 'pressed')","('Key.enter', 26.031961803, 'released')","('.', 26.6538799, 'pressed')","('.', 26.77401442, 'released')","('t', 27.170722485, 'pressed')","('t', 27.286884689, 'released')","('i', 27.365984207, 'pressed')","('i', 27.517930648, 'released')","('e', 27.67477367, 'pressed')","('e', 27.794959716, 'released')","('5', 28.434816274, 'pressed')","('5', 28.554884962, 'released')","('Key.caps_lock', 29.130035832, 'pressed')","('Key.caps_lock', 29.130048517, 'released')","('R', 29.518764097, 'pressed')","('R', 29.642802359, 'released')","('Key.caps_lock', 29.891351366, 'pressed')","('Key.caps_lock', 29.891363458, 'released')","('o', 30.431711771, 'pressed')","('o', 30.575731281, 'released')","('a', 30.962909953, 'pressed')","('a', 31.089786933, 'released')","('n', 31.206859108, 'pressed')","('n', 31.298722104, 'released')","('l', 31.568394812, 'pressed')","('l', 31.700706546, 'released')","('e', 31.899502975, 'pressed')","('e', 32.011685907, 'released')","('Key.esc', 32.529621319, 'pressed')"
